,State,County,Value,Gender,Race/Ethnicity,LatLng
6440,FL,Palm Beach County,331.4,Male,Black,"(26.64388, -80.475176)"
6441,FL,Pasco County,308.2,Male,Black,"(28.309881, -82.386594)"
6442,FL,Pinellas County,532.5,Male,Black,"(27.938988, -82.725335)"
6443,FL,Polk County,470.2,Male,Black,"(27.946248, -81.700632)"
6444,FL,Putnam County,467.9,Male,Black,"(29.610473, -81.739685)"
6445,FL,St. Johns County,470.1,Male,Black,"(29.887448, -81.449287)"
6446,FL,St. Lucie County,398.9,Male,Black,"(27.378926, -80.48859)"
6447,FL,Santa Rosa County,450.6,Male,Black,"(30.733193, -87.011629)"
6448,FL,Sarasota County,393.2,Male,Black,"(27.180267, -82.317079)"
6449,FL,Seminole County,334.4,Male,Black,"(28.714693, -81.235649)"
6450,FL,Sumter County,364.1,Male,Black,"(28.702429, -82.077825)"
6451,FL,Suwannee County,526.2,Male,Black,"(30.202333, -82.987396)"
6452,FL,Taylor County,604.0,Male,Black,"(30.050127, -83.59704)"
6453,FL,Union County,404.4,Male,Black,"(30.043108, -82.371977)"
6454,FL,Volusia County,454.3,Male,Black,"(29.056633, -81.196249)"
6455,FL,Wakulla County,378.3,Male,Black,"(30.174003, -84.400512)"
6456,FL,Walton County,499.9,Male,Black,"(30.654773, -86.157196)"
6457,FL,Washington County,600.3,Male,Black,"(30.615862, -85.660004)"
6458,FL,Alachua County,246.2,Female,Black,"(29.676002, -82.353876)"
6459,FL,Baker County,328.2,Female,Black,"(30.330308, -82.28286)"
6460,FL,Bay County,365.7,Female,Black,"(30.290363, -85.609591)"
6461,FL,Bradford County,239.2,Female,Black,"(29.951055, -82.166588)"
6462,FL,Brevard County,284.8,Female,Black,"(28.257929, -80.749258)"
6463,FL,Broward County,220.7,Female,Black,"(26.151212, -80.491447)"
6464,FL,Calhoun County,367.5,Female,Black,"(30.410425, -85.19503)"
6465,FL,Charlotte County,238.7,Female,Black,"(26.905211, -81.890923)"
6466,FL,Citrus County,274.9,Female,Black,"(28.853296, -82.459692)"
6467,FL,Clay County,270.9,Female,Black,"(29.984428, -81.851458)"
6468,FL,Collier County,216.7,Female,Black,"(26.123444, -81.33313)"
6469,FL,Columbia County,317.1,Female,Black,"(30.227266, -82.618589)"
6470,FL,DeSoto County,290.8,Female,Black,"(27.184187, -81.808571)"
6471,FL,Dixie County,259.1,Female,Black,"(29.613697, -83.150739)"
6472,FL,Duval County,331.6,Female,Black,"(30.32506, -81.686521)"
6473,FL,Escambia County,322.1,Female,Black,"(30.700541, -87.3627)"
6474,FL,Flagler County,230.7,Female,Black,"(29.458065, -81.316023)"
6475,FL,Franklin County,379.7,Female,Black,"(29.890284, -84.805494)"
6476,FL,Gadsden County,317.1,Female,Black,"(30.58664, -84.614526)"
6477,FL,Gilchrist County,248.8,Female,Black,"(29.732623, -82.79343)"
6478,FL,Glades County,234.2,Female,Black,"(26.959153, -81.184099)"
6479,FL,Gulf County,398.0,Female,Black,"(29.95778, -85.220294)"
6480,FL,Hamilton County,409.6,Female,Black,"(30.498656, -82.947045)"
6481,FL,Hardee County,300.4,Female,Black,"(27.489469, -81.809965)"
6482,FL,Hendry County,226.2,Female,Black,"(26.555574, -81.166212)"
6483,FL,Hernando County,179.7,Female,Black,"(28.550519, -82.418963)"
6484,FL,Highlands County,300.6,Female,Black,"(27.342716, -81.339535)"
6485,FL,Hillsborough County,270.1,Female,Black,"(27.930572, -82.306883)"
6486,FL,Holmes County,453.7,Female,Black,"(30.871516, -85.808912)"
6487,FL,Indian River County,324.9,Female,Black,"(27.692209, -80.62077)"
6488,FL,Jackson County,374.8,Female,Black,"(30.799401, -85.211916)"
6489,FL,Jefferson County,329.4,Female,Black,"(30.431972, -83.896752)"
6490,FL,Lafayette County,349.5,Female,Black,"(29.988187, -83.177677)"
6491,FL,Lake County,287.2,Female,Black,"(28.766819, -81.704198)"
6492,FL,Lee County,229.0,Female,Black,"(26.582309, -81.796885)"
6493,FL,Leon County,324.3,Female,Black,"(30.462683, -84.279454)"
6494,FL,Levy County,267.4,Female,Black,"(29.326437, -82.735832)"
6495,FL,Liberty County,321.0,Female,Black,"(30.243516, -84.878721)"
6496,FL,Madison County,399.9,Female,Black,"(30.446959, -83.467571)"
6497,FL,Manatee County,365.3,Female,Black,"(27.469165, -82.29681)"
6498,FL,Marion County,326.2,Female,Black,"(29.210149, -82.056158)"
6499,FL,Martin County,232.9,Female,Black,"(27.075869, -80.447072)"
6500,FL,Miami-Dade County,292.5,Female,Black,"(25.610647, -80.570521)"
6501,FL,Monroe County,288.4,Female,Black,"(25.491043, -80.990432)"
6502,FL,Nassau County,332.1,Female,Black,"(30.60322, -81.83334)"
6503,FL,Okaloosa County,240.1,Female,Black,"(30.713173, -86.59025)"
6504,FL,Okeechobee County,301.9,Female,Black,"(27.391342, -80.889544)"
6505,FL,Orange County,264.2,Female,Black,"(28.510737, -81.324829)"
6506,FL,Osceola County,287.9,Female,Black,"(28.058305, -81.150404)"
6507,FL,Palm Beach County,225.7,Female,Black,"(26.64388, -80.475176)"
6508,FL,Pasco County,198.4,Female,Black,"(28.309881, -82.386594)"
6509,FL,Pinellas County,341.9,Female,Black,"(27.938988, -82.725335)"
6510,FL,Polk County,327.6,Female,Black,"(27.946248, -81.700632)"
6511,FL,Putnam County,260.6,Female,Black,"(29.610473, -81.739685)"
6512,FL,St. Johns County,273.8,Female,Black,"(29.887448, -81.449287)"
6513,FL,St. Lucie County,276.9,Female,Black,"(27.378926, -80.48859)"
6514,FL,Santa Rosa County,312.7,Female,Black,"(30.733193, -87.011629)"
6515,FL,Sarasota County,252.6,Female,Black,"(27.180267, -82.317079)"
6516,FL,Seminole County,247.6,Female,Black,"(28.714693, -81.235649)"
6517,FL,Sumter County,350.7,Female,Black,"(28.702429, -82.077825)"
6518,FL,Suwannee County,348.4,Female,Black,"(30.202333, -82.987396)"
6519,FL,Taylor County,415.9,Female,Black,"(30.050127, -83.59704)"
6520,FL,Union County,289.6,Female,Black,"(30.043108, -82.371977)"
6521,FL,Volusia County,307.6,Female,Black,"(29.056633, -81.196249)"
6522,FL,Wakulla County,302.0,Female,Black,"(30.174003, -84.400512)"
6523,FL,Walton County,233.1,Female,Black,"(30.654773, -86.157196)"
6524,FL,Washington County,380.1,Female,Black,"(30.615862, -85.660004)"
6525,FL,Alachua County,168.0,Overall,Hispanic,"(29.676002, -82.353876)"
6526,FL,Baker County,272.0,Overall,Hispanic,"(30.330308, -82.28286)"
6527,FL,Bay County,187.8,Overall,Hispanic,"(30.290363, -85.609591)"
6528,FL,Bradford County,132.0,Overall,Hispanic,"(29.951055, -82.166588)"
6529,FL,Brevard County,212.3,Overall,Hispanic,"(28.257929, -80.749258)"
6530,FL,Broward County,179.1,Overall,Hispanic,"(26.151212, -80.491447)"
6531,FL,Calhoun County,166.6,Overall,Hispanic,"(30.410425, -85.19503)"
6532,FL,Charlotte County,189.7,Overall,Hispanic,"(26.905211, -81.890923)"
6533,FL,Citrus County,262.5,Overall,Hispanic,"(28.853296, -82.459692)"
6534,FL,Clay County,126.1,Overall,Hispanic,"(29.984428, -81.851458)"
6535,FL,Collier County,182.9,Overall,Hispanic,"(26.123444, -81.33313)"
6536,FL,Columbia County,277.9,Overall,Hispanic,"(30.227266, -82.618589)"
6537,FL,DeSoto County,119.5,Overall,Hispanic,"(27.184187, -81.808571)"
6539,FL,Duval County,188.1,Overall,Hispanic,"(30.32506, -81.686521)"
6540,FL,Escambia County,134.5,Overall,Hispanic,"(30.700541, -87.3627)"
6541,FL,Flagler County,213.0,Overall,Hispanic,"(29.458065, -81.316023)"
6543,FL,Gadsden County,118.9,Overall,Hispanic,"(30.58664, -84.614526)"
6544,FL,Gilchrist County,186.6,Overall,Hispanic,"(29.732623, -82.79343)"
6545,FL,Glades County,200.1,Overall,Hispanic,"(26.959153, -81.184099)"
6547,FL,Hamilton County,240.9,Overall,Hispanic,"(30.498656, -82.947045)"
6548,FL,Hardee County,215.9,Overall,Hispanic,"(27.489469, -81.809965)"
6549,FL,Hendry County,199.6,Overall,Hispanic,"(26.555574, -81.166212)"
6550,FL,Hernando County,199.4,Overall,Hispanic,"(28.550519, -82.418963)"
6551,FL,Highlands County,232.6,Overall,Hispanic,"(27.342716, -81.339535)"
6552,FL,Hillsborough County,241.7,Overall,Hispanic,"(27.930572, -82.306883)"
6554,FL,Indian River County,161.1,Overall,Hispanic,"(27.692209, -80.62077)"
6555,FL,Jackson County,199.7,Overall,Hispanic,"(30.799401, -85.211916)"
6556,FL,Jefferson County,106.8,Overall,Hispanic,"(30.431972, -83.896752)"
6558,FL,Lake County,214.9,Overall,Hispanic,"(28.766819, -81.704198)"
6559,FL,Lee County,208.6,Overall,Hispanic,"(26.582309, -81.796885)"
6560,FL,Leon County,103.8,Overall,Hispanic,"(30.462683, -84.279454)"
6561,FL,Levy County,254.6,Overall,Hispanic,"(29.326437, -82.735832)"
6562,FL,Liberty County,112.2,Overall,Hispanic,"(30.243516, -84.878721)"
6563,FL,Madison County,177.7,Overall,Hispanic,"(30.446959, -83.467571)"
6564,FL,Manatee County,172.0,Overall,Hispanic,"(27.469165, -82.29681)"
6565,FL,Marion County,305.1,Overall,Hispanic,"(29.210149, -82.056158)"
6566,FL,Martin County,182.8,Overall,Hispanic,"(27.075869, -80.447072)"
6567,FL,Miami-Dade County,281.1,Overall,Hispanic,"(25.610647, -80.570521)"
6568,FL,Monroe County,275.5,Overall,Hispanic,"(25.491043, -80.990432)"
6569,FL,Nassau County,201.1,Overall,Hispanic,"(30.60322, -81.83334)"
6570,FL,Okaloosa County,115.4,Overall,Hispanic,"(30.713173, -86.59025)"
6571,FL,Okeechobee County,254.9,Overall,Hispanic,"(27.391342, -80.889544)"
6572,FL,Orange County,204.6,Overall,Hispanic,"(28.510737, -81.324829)"
6573,FL,Osceola County,281.0,Overall,Hispanic,"(28.058305, -81.150404)"
6574,FL,Palm Beach County,179.3,Overall,Hispanic,"(26.64388, -80.475176)"
6575,FL,Pasco County,210.6,Overall,Hispanic,"(28.309881, -82.386594)"
6576,FL,Pinellas County,175.9,Overall,Hispanic,"(27.938988, -82.725335)"
6577,FL,Polk County,229.0,Overall,Hispanic,"(27.946248, -81.700632)"
6578,FL,Putnam County,209.4,Overall,Hispanic,"(29.610473, -81.739685)"
6579,FL,St. Johns County,125.9,Overall,Hispanic,"(29.887448, -81.449287)"
6580,FL,St. Lucie County,155.5,Overall,Hispanic,"(27.378926, -80.48859)"
6581,FL,Santa Rosa County,128.1,Overall,Hispanic,"(30.733193, -87.011629)"
6582,FL,Sarasota County,113.7,Overall,Hispanic,"(27.180267, -82.317079)"
6583,FL,Seminole County,199.6,Overall,Hispanic,"(28.714693, -81.235649)"
6584,FL,Sumter County,197.0,Overall,Hispanic,"(28.702429, -82.077825)"
6585,FL,Suwannee County,260.0,Overall,Hispanic,"(30.202333, -82.987396)"
6587,FL,Union County,422.5,Overall,Hispanic,"(30.043108, -82.371977)"
6588,FL,Volusia County,236.5,Overall,Hispanic,"(29.056633, -81.196249)"
6590,FL,Walton County,101.1,Overall,Hispanic,"(30.654773, -86.157196)"
6591,FL,Washington County,189.7,Overall,Hispanic,"(30.615862, -85.660004)"
6592,FL,Alachua County,236.5,Male,Hispanic,"(29.676002, -82.353876)"
6593,FL,Baker County,215.1,Male,Hispanic,"(30.330308, -82.28286)"
6594,FL,Bay County,170.2,Male,Hispanic,"(30.290363, -85.609591)"
6595,FL,Bradford County,171.7,Male,Hispanic,"(29.951055, -82.166588)"
6596,FL,Brevard County,268.3,Male,Hispanic,"(28.257929, -80.749258)"
6597,FL,Broward County,238.3,Male,Hispanic,"(26.151212, -80.491447)"
6599,FL,Charlotte County,227.7,Male,Hispanic,"(26.905211, -81.890923)"
6600,FL,Citrus County,313.4,Male,Hispanic,"(28.853296, -82.459692)"
6601,FL,Clay County,159.2,Male,Hispanic,"(29.984428, -81.851458)"
6602,FL,Collier County,251.5,Male,Hispanic,"(26.123444, -81.33313)"
6603,FL,Columbia County,365.0,Male,Hispanic,"(30.227266, -82.618589)"
6604,FL,DeSoto County,69.3,Male,Hispanic,"(27.184187, -81.808571)"
6606,FL,Duval County,243.9,Male,Hispanic,"(30.32506, -81.686521)"
6607,FL,Escambia County,132.5,Male,Hispanic,"(30.700541, -87.3627)"
6608,FL,Flagler County,315.3,Male,Hispanic,"(29.458065, -81.316023)"
6611,FL,Gilchrist County,272.5,Male,Hispanic,"(29.732623, -82.79343)"
6612,FL,Glades County,237.7,Male,Hispanic,"(26.959153, -81.184099)"
6615,FL,Hardee County,183.5,Male,Hispanic,"(27.489469, -81.809965)"
6616,FL,Hendry County,236.6,Male,Hispanic,"(26.555574, -81.166212)"
6617,FL,Hernando County,256.6,Male,Hispanic,"(28.550519, -82.418963)"
6618,FL,Highlands County,254.4,Male,Hispanic,"(27.342716, -81.339535)"
6619,FL,Hillsborough County,318.2,Male,Hispanic,"(27.930572, -82.306883)"
6621,FL,Indian River County,211.5,Male,Hispanic,"(27.692209, -80.62077)"
6622,FL,Jackson County,264.9,Male,Hispanic,"(30.799401, -85.211916)"
6625,FL,Lake County,204.8,Male,Hispanic,"(28.766819, -81.704198)"
6626,FL,Lee County,238.6,Male,Hispanic,"(26.582309, -81.796885)"
6627,FL,Leon County,103.7,Male,Hispanic,"(30.462683, -84.279454)"
6628,FL,Levy County,311.1,Male,Hispanic,"(29.326437, -82.735832)"
6631,FL,Manatee County,220.5,Male,Hispanic,"(27.469165, -82.29681)"
6632,FL,Marion County,351.5,Male,Hispanic,"(29.210149, -82.056158)"
6633,FL,Martin County,247.6,Male,Hispanic,"(27.075869, -80.447072)"
6634,FL,Miami-Dade County,366.4,Male,Hispanic,"(25.610647, -80.570521)"
6635,FL,Monroe County,367.3,Male,Hispanic,"(25.491043, -80.990432)"
6636,FL,Nassau County,250.3,Male,Hispanic,"(30.60322, -81.83334)"
6637,FL,Okaloosa County,168.2,Male,Hispanic,"(30.713173, -86.59025)"
6638,FL,Okeechobee County,307.1,Male,Hispanic,"(27.391342, -80.889544)"
6639,FL,Orange County,266.0,Male,Hispanic,"(28.510737, -81.324829)"
6640,FL,Osceola County,344.7,Male,Hispanic,"(28.058305, -81.150404)"
6641,FL,Palm Beach County,230.4,Male,Hispanic,"(26.64388, -80.475176)"
6642,FL,Pasco County,274.0,Male,Hispanic,"(28.309881, -82.386594)"
6643,FL,Pinellas County,219.9,Male,Hispanic,"(27.938988, -82.725335)"
6644,FL,Polk County,313.6,Male,Hispanic,"(27.946248, -81.700632)"
6645,FL,Putnam County,276.0,Male,Hispanic,"(29.610473, -81.739685)"
6646,FL,St. Johns County,137.9,Male,Hispanic,"(29.887448, -81.449287)"
6647,FL,St. Lucie County,210.6,Male,Hispanic,"(27.378926, -80.48859)"
6648,FL,Santa Rosa County,250.9,Male,Hispanic,"(30.733193, -87.011629)"
6649,FL,Sarasota County,109.1,Male,Hispanic,"(27.180267, -82.317079)"
6650,FL,Seminole County,227.3,Male,Hispanic,"(28.714693, -81.235649)"
6651,FL,Sumter County,249.1,Male,Hispanic,"(28.702429, -82.077825)"
6654,FL,Union County,235.5,Male,Hispanic,"(30.043108, -82.371977)"
6655,FL,Volusia County,346.7,Male,Hispanic,"(29.056633, -81.196249)"
6659,FL,Alachua County,126.0,Female,Hispanic,"(29.676002, -82.353876)"
6661,FL,Bay County,167.9,Female,Hispanic,"(30.290363, -85.609591)"
6662,FL,Bradford County,160.0,Female,Hispanic,"(29.951055, -82.166588)"
6663,FL,Brevard County,171.7,Female,Hispanic,"(28.257929, -80.749258)"
6664,FL,Broward County,139.2,Female,Hispanic,"(26.151212, -80.491447)"
6666,FL,Charlotte County,165.2,Female,Hispanic,"(26.905211, -81.890923)"
6667,FL,Citrus County,213.0,Female,Hispanic,"(28.853296, -82.459692)"
6668,FL,Clay County,105.2,Female,Hispanic,"(29.984428, -81.851458)"
6669,FL,Collier County,141.5,Female,Hispanic,"(26.123444, -81.33313)"
6670,FL,Columbia County,238.4,Female,Hispanic,"(30.227266, -82.618589)"
6671,FL,DeSoto County,148.8,Female,Hispanic,"(27.184187, -81.808571)"
6673,FL,Duval County,148.9,Female,Hispanic,"(30.32506, -81.686521)"
6674,FL,Escambia County,134.9,Female,Hispanic,"(30.700541, -87.3627)"
6675,FL,Flagler County,135.5,Female,Hispanic,"(29.458065, -81.316023)"
6678,FL,Gilchrist County,141.0,Female,Hispanic,"(29.732623, -82.79343)"
6679,FL,Glades County,160.4,Female,Hispanic,"(26.959153, -81.184099)"
6682,FL,Hardee County,193.1,Female,Hispanic,"(27.489469, -81.809965)"
6683,FL,Hendry County,163.5,Female,Hispanic,"(26.555574, -81.166212)"
6684,FL,Hernando County,158.2,Female,Hispanic,"(28.550519, -82.418963)"
6685,FL,Highlands County,206.5,Female,Hispanic,"(27.342716, -81.339535)"
6686,FL,Hillsborough County,187.7,Female,Hispanic,"(27.930572, -82.306883)"
6688,FL,Indian River County,151.1,Female,Hispanic,"(27.692209, -80.62077)"
6692,FL,Lake County,218.7,Female,Hispanic,"(28.766819, -81.704198)"
6693,FL,Lee County,186.3,Female,Hispanic,"(26.582309, -81.796885)"
6694,FL,Leon County,115.0,Female,Hispanic,"(30.462683, -84.279454)"
6695,FL,Levy County,237.0,Female,Hispanic,"(29.326437, -82.735832)"
6698,FL,Manatee County,144.0,Female,Hispanic,"(27.469165, -82.29681)"
6699,FL,Marion County,262.1,Female,Hispanic,"(29.210149, -82.056158)"
6700,FL,Martin County,129.8,Female,Hispanic,"(27.075869, -80.447072)"
6702,FL,Miami-Dade County,219.9,Female,Hispanic,"(25.610647, -80.570521)"
6703,FL,Monroe County,209.6,Female,Hispanic,"(25.491043, -80.990432)"
6704,FL,Nassau County,170.9,Female,Hispanic,"(30.60322, -81.83334)"
6705,FL,Okaloosa County,74.0,Female,Hispanic,"(30.713173, -86.59025)"
6706,FL,Okeechobee County,204.1,Female,Hispanic,"(27.391342, -80.889544)"
6707,FL,Orange County,160.2,Female,Hispanic,"(28.510737, -81.324829)"
6708,FL,Osceola County,230.2,Female,Hispanic,"(28.058305, -81.150404)"
6709,FL,Palm Beach County,143.1,Female,Hispanic,"(26.64388, -80.475176)"
6710,FL,Pasco County,168.2,Female,Hispanic,"(28.309881, -82.386594)"
6711,FL,Pinellas County,156.2,Female,Hispanic,"(27.938988, -82.725335)"
6712,FL,Polk County,167.1,Female,Hispanic,"(27.946248, -81.700632)"
6713,FL,Putnam County,150.0,Female,Hispanic,"(29.610473, -81.739685)"
6714,FL,St. Johns County,131.9,Female,Hispanic,"(29.887448, -81.449287)"
6715,FL,St. Lucie County,112.1,Female,Hispanic,"(27.378926, -80.48859)"
6716,FL,Santa Rosa County,93.4,Female,Hispanic,"(30.733193, -87.011629)"
6717,FL,Sarasota County,117.7,Female,Hispanic,"(27.180267, -82.317079)"
6718,FL,Seminole County,163.6,Female,Hispanic,"(28.714693, -81.235649)"
6719,FL,Sumter County,165.5,Female,Hispanic,"(28.702429, -82.077825)"
6723,FL,Volusia County,154.3,Female,Hispanic,"(29.056633, -81.196249)"
6727,FL,Alachua County,156.9,Overall,Asian and Pacific Islander,"(29.676002, -82.353876)"
6728,FL,Baker County,143.6,Overall,Asian and Pacific Islander,"(30.330308, -82.28286)"
6729,FL,Bay County,96.1,Overall,Asian and Pacific Islander,"(30.290363, -85.609591)"
6730,FL,Bradford County,147.5,Overall,Asian and Pacific Islander,"(29.951055, -82.166588)"
6731,FL,Brevard County,157.4,Overall,Asian and Pacific Islander,"(28.257929, -80.749258)"
6732,FL,Broward County,185.9,Overall,Asian and Pacific Islander,"(26.151212, -80.491447)"
6734,FL,Charlotte County,131.4,Overall,Asian and Pacific Islander,"(26.905211, -81.890923)"
6735,FL,Citrus County,151.6,Overall,Asian and Pacific Islander,"(28.853296, -82.459692)"
6736,FL,Clay County,148.6,Overall,Asian and Pacific Islander,"(29.984428, -81.851458)"
6737,FL,Collier County,144.9,Overall,Asian and Pacific Islander,"(26.123444, -81.33313)"
6739,FL,DeSoto County,100.7,Overall,Asian and Pacific Islander,"(27.184187, -81.808571)"
6741,FL,Duval County,147.0,Overall,Asian and Pacific Islander,"(30.32506, -81.686521)"
6742,FL,Escambia County,164.7,Overall,Asian and Pacific Islander,"(30.700541, -87.3627)"
6743,FL,Flagler County,105.3,Overall,Asian and Pacific Islander,"(29.458065, -81.316023)"
6748,FL,Glades County,143.9,Overall,Asian and Pacific Islander,"(26.959153, -81.184099)"
6751,FL,Hardee County,118.9,Overall,Asian and Pacific Islander,"(27.489469, -81.809965)"
6752,FL,Hendry County,165.9,Overall,Asian and Pacific Islander,"(26.555574, -81.166212)"
6753,FL,Hernando County,123.0,Overall,Asian and Pacific Islander,"(28.550519, -82.418963)"
6754,FL,Highlands County,168.1,Overall,Asian and Pacific Islander,"(27.342716, -81.339535)"
6755,FL,Hillsborough County,123.0,Overall,Asian and Pacific Islander,"(27.930572, -82.306883)"
6757,FL,Indian River County,174.8,Overall,Asian and Pacific Islander,"(27.692209, -80.62077)"
6761,FL,Lake County,158.3,Overall,Asian and Pacific Islander,"(28.766819, -81.704198)"
6762,FL,Lee County,111.9,Overall,Asian and Pacific Islander,"(26.582309, -81.796885)"
6763,FL,Leon County,130.5,Overall,Asian and Pacific Islander,"(30.462683, -84.279454)"
6764,FL,Levy County,168.0,Overall,Asian and Pacific Islander,"(29.326437, -82.735832)"
6767,FL,Manatee County,106.2,Overall,Asian and Pacific Islander,"(27.469165, -82.29681)"
6768,FL,Marion County,152.9,Overall,Asian and Pacific Islander,"(29.210149, -82.056158)"
6769,FL,Martin County,140.0,Overall,Asian and Pacific Islander,"(27.075869, -80.447072)"
6770,FL,Miami-Dade County,157.7,Overall,Asian and Pacific Islander,"(25.610647, -80.570521)"
6771,FL,Monroe County,139.5,Overall,Asian and Pacific Islander,"(25.491043, -80.990432)"
6772,FL,Nassau County,144.1,Overall,Asian and Pacific Islander,"(30.60322, -81.83334)"
6773,FL,Okaloosa County,76.4,Overall,Asian and Pacific Islander,"(30.713173, -86.59025)"
6774,FL,Okeechobee County,154.5,Overall,Asian and Pacific Islander,"(27.391342, -80.889544)"
6775,FL,Orange County,157.2,Overall,Asian and Pacific Islander,"(28.510737, -81.324829)"
6776,FL,Osceola County,164.3,Overall,Asian and Pacific Islander,"(28.058305, -81.150404)"
6777,FL,Palm Beach County,172.9,Overall,Asian and Pacific Islander,"(26.64388, -80.475176)"
6778,FL,Pasco County,135.0,Overall,Asian and Pacific Islander,"(28.309881, -82.386594)"
6779,FL,Pinellas County,166.7,Overall,Asian and Pacific Islander,"(27.938988, -82.725335)"
6780,FL,Polk County,147.7,Overall,Asian and Pacific Islander,"(27.946248, -81.700632)"
6781,FL,Putnam County,145.8,Overall,Asian and Pacific Islander,"(29.610473, -81.739685)"
6782,FL,St. Johns County,143.6,Overall,Asian and Pacific Islander,"(29.887448, -81.449287)"
6783,FL,St. Lucie County,109.6,Overall,Asian and Pacific Islander,"(27.378926, -80.48859)"
6784,FL,Santa Rosa County,75.1,Overall,Asian and Pacific Islander,"(30.733193, -87.011629)"
6785,FL,Sarasota County,110.9,Overall,Asian and Pacific Islander,"(27.180267, -82.317079)"
6786,FL,Seminole County,150.6,Overall,Asian and Pacific Islander,"(28.714693, -81.235649)"
6787,FL,Sumter County,147.7,Overall,Asian and Pacific Islander,"(28.702429, -82.077825)"
6789,GA,Atkinson County,423.8,Overall,Overall,"(31.298492, -82.875279)"
6792,FL,Volusia County,147.4,Overall,Asian and Pacific Islander,"(29.056633, -81.196249)"
6796,FL,Alachua County,175.6,Male,Asian and Pacific Islander,"(29.676002, -82.353876)"
6797,FL,Baker County,167.4,Male,Asian and Pacific Islander,"(30.330308, -82.28286)"
6800,FL,Brevard County,216.3,Male,Asian and Pacific Islander,"(28.257929, -80.749258)"
6801,FL,Broward County,245.0,Male,Asian and Pacific Islander,"(26.151212, -80.491447)"
6803,FL,Charlotte County,201.7,Male,Asian and Pacific Islander,"(26.905211, -81.890923)"
6805,FL,Clay County,190.5,Male,Asian and Pacific Islander,"(29.984428, -81.851458)"
6806,FL,Collier County,229.1,Male,Asian and Pacific Islander,"(26.123444, -81.33313)"
6810,FL,Duval County,183.3,Male,Asian and Pacific Islander,"(30.32506, -81.686521)"
6811,FL,Escambia County,122.2,Male,Asian and Pacific Islander,"(30.700541, -87.3627)"
6812,FL,Flagler County,147.0,Male,Asian and Pacific Islander,"(29.458065, -81.316023)"
6816,FL,Glades County,187.5,Male,Asian and Pacific Islander,"(26.959153, -81.184099)"
6819,FL,Hardee County,179.2,Male,Asian and Pacific Islander,"(27.489469, -81.809965)"
6820,FL,Hendry County,222.6,Male,Asian and Pacific Islander,"(26.555574, -81.166212)"
6821,FL,Hernando County,163.9,Male,Asian and Pacific Islander,"(28.550519, -82.418963)"
6822,FL,Highlands County,173.4,Male,Asian and Pacific Islander,"(27.342716, -81.339535)"
6823,FL,Hillsborough County,184.2,Male,Asian and Pacific Islander,"(27.930572, -82.306883)"
6825,FL,Indian River County,244.5,Male,Asian and Pacific Islander,"(27.692209, -80.62077)"
6829,FL,Lake County,179.5,Male,Asian and Pacific Islander,"(28.766819, -81.704198)"
6830,FL,Lee County,194.9,Male,Asian and Pacific Islander,"(26.582309, -81.796885)"
6831,FL,Leon County,173.0,Male,Asian and Pacific Islander,"(30.462683, -84.279454)"
6833,FL,Levy County,203.2,Male,Asian and Pacific Islander,"(29.326437, -82.735832)"
6836,FL,Manatee County,168.8,Male,Asian and Pacific Islander,"(27.469165, -82.29681)"
6837,FL,Marion County,193.4,Male,Asian and Pacific Islander,"(29.210149, -82.056158)"
6838,FL,Martin County,160.2,Male,Asian and Pacific Islander,"(27.075869, -80.447072)"
6839,FL,Miami-Dade County,221.9,Male,Asian and Pacific Islander,"(25.610647, -80.570521)"
6840,FL,Monroe County,194.6,Male,Asian and Pacific Islander,"(25.491043, -80.990432)"
6841,FL,Nassau County,173.7,Male,Asian and Pacific Islander,"(30.60322, -81.83334)"
6843,FL,Okeechobee County,170.2,Male,Asian and Pacific Islander,"(27.391342, -80.889544)"
6844,FL,Orange County,190.1,Male,Asian and Pacific Islander,"(28.510737, -81.324829)"
6845,FL,Osceola County,201.8,Male,Asian and Pacific Islander,"(28.058305, -81.150404)"
6846,FL,Palm Beach County,207.2,Male,Asian and Pacific Islander,"(26.64388, -80.475176)"
6847,FL,Pasco County,188.5,Male,Asian and Pacific Islander,"(28.309881, -82.386594)"
6848,FL,Pinellas County,192.5,Male,Asian and Pacific Islander,"(27.938988, -82.725335)"
6849,FL,Polk County,181.2,Male,Asian and Pacific Islander,"(27.946248, -81.700632)"
6850,FL,Putnam County,184.3,Male,Asian and Pacific Islander,"(29.610473, -81.739685)"
6851,FL,St. Johns County,217.5,Male,Asian and Pacific Islander,"(29.887448, -81.449287)"
6854,FL,Sarasota County,130.9,Male,Asian and Pacific Islander,"(27.180267, -82.317079)"
6855,FL,Seminole County,181.6,Male,Asian and Pacific Islander,"(28.714693, -81.235649)"
6856,FL,Sumter County,180.2,Male,Asian and Pacific Islander,"(28.702429, -82.077825)"
6860,FL,Volusia County,186.2,Male,Asian and Pacific Islander,"(29.056633, -81.196249)"
6864,FL,Alachua County,139.9,Female,Asian and Pacific Islander,"(29.676002, -82.353876)"
6865,FL,Baker County,122.4,Female,Asian and Pacific Islander,"(30.330308, -82.28286)"
6868,FL,Brevard County,106.7,Female,Asian and Pacific Islander,"(28.257929, -80.749258)"
6869,FL,Broward County,130.6,Female,Asian and Pacific Islander,"(26.151212, -80.491447)"
6873,FL,Clay County,117.8,Female,Asian and Pacific Islander,"(29.984428, -81.851458)"
6874,FL,Collier County,103.2,Female,Asian and Pacific Islander,"(26.123444, -81.33313)"
